Rank,Club,Played,Won,Drawn,Lost,Points For,Points Against,Points Difference,Tries For,Tries Against,Try Bonus,Losing Bonus,Points,id
,1,Saracens (CH),22,17,1,4,580,376,+204,60,36,8,2,80,a4d33669-9e99-4626-a811-126bf8e7d52b
,2,Exeter Chiefs (RU),22,15,0,7,585,361,+224,71,40,8,6,74,9d1f2e01-e5a3-44cd-8e2c-859a97165f1b
,3,Wasps (SF),22,15,0,7,598,397,+201,71,42,9,3,72,bb42f448-b477-450c-a617-8b647311b390
,4,Leicester Tigers (SF),22,14,0,8,509,475,+34,55,48,6,3,65,267e19cc-ec21-4beb-bbee-38fc0869e710
,5,Northampton Saints,22,12,0,10,455,392,+63,51,35,5,7,60,2e31b0db-cbad-4580-9adb-8a92f586cb17
,6,Sale Sharks,22,11,2,9,456,459,-3,53,52,6,4,58,d8770ba5-abbe-402b-8b42-1e62de0cce36
,7,Harlequins,22,10,1,11,547,583,-36,55,66,6,7,55,72348301-c820-4021-8fee-ea5e55418b13
,8,Gloucester,22,10,1,11,429,423,+6,36,44,2,5,49,7ba8abe2-e900-4489-b31c-ccb4d1801605
,9,Bath,22,9,0,13,435,460,-25,47,43,4,8,48,4b08f30c-7fe6-40ad-b747-520ac55aa30e
,10,Worcester Warriors,22,7,0,15,420,597,-177,47,74,2,5,35,0a252594-8ac4-44cb-bb1a-debfd9df07f8
,11,Newcastle Falcons,22,5,1,16,357,556,-199,34,62,0,5,27,eb1b5796-9e21-4796-950d-957a6965f3ad
,12,London Irish (R),22,4,0,18,328,620,-292,36,74,0,4,2,6b617fdf-901c-4774-8a83-1b91ad590e74
